timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
2468704000,2468704000,-0.000,-0.000,-1.267e-06,-0.017,-0.013,-0.035
2468804000,2468804000,-0.000,-0.000,0.000,0.001,-0.010,-0.013
2468904000,2468904000,-0.000,0.000,0.000,-0.006,0.002,0.032
2469004000,2469004000,1.323e-05,-0.000,5.334e-05,0.010,-0.025,-0.012
2469104000,2469104000,-0.000,-0.000,0.000,-0.014,-0.012,-0.000
2469204000,2469204000,-0.000,-0.000,0.000,-0.041,-0.008,0.007
2469304000,2469304000,-0.000,-5.478e-05,-0.000,-0.012,-0.005,-0.029
2469404000,2469404000,-6.571e-05,-0.000,0.000,0.019,-0.007,0.030
2469504000,2469504000,-0.000,-6.634e-06,-3.465e-06,-0.000,-0.025,0.000
2469604000,2469604000,-0.000,6.597e-05,9.621e-05,0.002,0.015,-0.008
2469704000,2469704000,-0.000,0.000,3.339e-05,-0.023,0.001,0.010
2469804000,2469804000,-0.000,0.000,-6.437e-05,-0.005,-0.020,-0.015
2469908000,2469908000,-0.000,0.000,-0.000,-0.003,0.009,-0.010
2470008000,2470008000,1.000e-05,-0.000,0.000,0.005,-0.006,0.019
2470108000,2470108000,-0.000,8.562e-05,0.000,0.001,0.004,0.052
2470208000,2470208000,-0.000,6.034e-06,-0.000,-0.036,0.006,-0.011
2470308000,2470308000,-0.000,-0.000,-0.000,0.009,-0.015,-0.008
2470408000,2470408000,-0.000,5.379e-06,-0.000,0.013,-0.008,-0.031
2470508000,2470508000,-0.000,-0.000,-0.000,0.001,-0.013,-0.011
2470608000,2470608000,8.746e-05,-9.097e-05,-0.000,0.016,0.002,0.003
2470708000,2470708000,-0.000,-0.000,-0.000,0.021,-0.011,0.014
2470808000,2470808000,0.000,5.466e-05,0.000,0.026,-0.015,0.054
2470908000,2470908000,-0.000,0.000,0.000,0.011,-0.004,0.017
2471008000,2471008000,-7.949e-05,8.925e-05,0.000,-0.013,0.016,0.008
2471108000,2471108000,-0.000,-7.537e-05,0.000,0.007,-0.001,0.017
2471208000,2471208000,-1.924e-05,-0.000,-0.000,-0.003,-0.012,-0.021
2471308000,2471308000,-0.000,-0.000,-0.000,0.005,-0.016,0.018
2471408000,2471408000,4.651e-05,-5.286e-05,3.607e-05,0.007,0.006,0.011
2471508000,2471508000,-0.000,0.000,-0.000,0.015,-0.007,-0.026
2471608000,2471608000,-7.556e-05,-0.000,-0.000,0.000,-0.012,-0.015
2471708000,2471708000,-0.000,-0.000,4.509e-05,-0.000,-0.006,-0.002
2471808000,2471808000,-0.000,6.825e-05,-0.000,-0.021,-0.009,0.006
2471908000,2471908000,4.624e-05,0.000,7.769e-05,0.014,0.019,0.001
2472008000,2472008000,-0.000,-8.223e-05,0.000,0.010,0.014,0.018
2472108000,2472108000,-0.000,0.000,5.336e-05,-0.010,0.008,-0.003
2472208000,2472208000,-0.000,-3.268e-06,0.000,-0.023,-0.026,0.011
2472308000,2472308000,-6.337e-05,0.000,-0.000,0.007,0.006,-0.012
2472408000,2472408000,-0.000,-8.608e-06,0.000,-0.009,-0.002,0.020
2472508000,2472508000,4.541e-05,-9.402e-05,1.783e-06,0.008,-0.027,-0.006
2472608000,2472608000,-0.000,-0.000,-8.554e-05,0.030,-0.010,-0.011
2472708000,2472708000,-0.000,4.185e-05,-0.000,0.022,0.004,-0.014
2472808000,2472808000,-0.000,0.000,-8.092e-05,-0.025,0.003,0.001
2472908000,2472908000,-0.000,0.000,0.000,0.006,0.023,0.026
2473008000,2473008000,-0.000,0.000,-0.000,0.028,0.008,-0.027
2473108000,2473108000,-0.000,-0.000,-4.072e-05,-0.045,-0.001,-0.016
2473208000,2473208000,-0.000,2.100e-05,0.000,-0.002,0.007,0.012
2473308000,2473308000,-0.000,0.000,0.000,0.037,0.005,0.004
2473408000,2473408000,-0.000,0.000,0.000,-0.018,0.006,-0.004
2473508000,2473508000,-0.000,-7.545e-06,-9.893e-06,-0.007,-0.023,0.016
2473608000,2473608000,-0.000,8.407e-05,0.000,-0.037,0.013,0.006
2473708000,2473708000,-0.000,0.000,8.102e-05,0.036,-0.016,0.016
2473808000,2473808000,-8.860e-05,0.000,0.000,0.033,-0.018,-0.007
2473908000,2473908000,-0.000,0.000,-2.567e-05,-0.010,0.026,-0.011
2474008000,2474008000,-0.000,1.021e-05,0.000,-0.028,-0.012,0.031
2474108000,2474108000,-1.331e-05,-7.687e-05,0.000,0.022,0.004,0.013
2474208000,2474208000,-0.000,-1.079e-05,-5.005e-05,-0.003,0.013,-0.026
2474308000,2474308000,-0.000,0.000,-0.000,-0.029,0.017,-0.012
2474408000,2474408000,-0.000,0.000,0.000,-0.020,0.017,-0.011
2474508000,2474508000,-0.002,-0.021,0.001,-0.087,-0.378,0.028
2474608000,2474608000,-0.008,-0.006,0.003,-0.057,0.243,0.046
2474708000,2474708000,-0.011,0.002,0.003,0.012,0.005,-0.014
2474808000,2474808000,-0.013,0.004,0.002,-0.040,0.033,-0.043
2474908000,2474908000,-0.014,0.004,0.002,-0.005,-0.008,-0.017
2475008000,2475008000,-0.013,0.004,0.001,0.036,-0.043,-0.042
2475108000,2475108000,-0.011,0.004,0.001,0.014,-0.009,0.014
2475208000,2475208000,-0.007,0.002,0.001,0.043,-0.009,-0.022
2475308000,2475308000,-0.003,0.001,0.000,0.034,-0.032,-0.001
2475408000,2475408000,-0.000,0.001,0.000,0.051,0.021,0.002
2475508000,2475508000,0.003,0.001,-0.000,0.023,-0.030,-0.012
2475608000,2475608000,0.006,0.002,-6.504e-05,0.021,0.036,0.021
2475708000,2475708000,0.009,0.001,5.641e-05,0.017,0.027,0.004
2475808000,2475808000,0.013,0.003,-0.000,0.009,-0.029,0.000
2475908000,2475908000,0.014,0.004,-0.000,0.010,-0.013,-0.012
2476008000,2476008000,0.015,0.002,-0.001,-0.015,-0.002,-0.003
2476108000,2476108000,0.016,0.002,-0.001,0.004,0.028,0.032
2476208000,2476208000,0.016,0.000,-0.001,0.008,-0.011,0.040
2476308000,2476308000,0.016,0.001,-0.001,0.019,-0.007,0.017
2476408000,2476408000,0.014,0.000,-0.001,-0.027,0.008,0.045
2476508000,2476508000,0.011,0.000,-0.001,-0.027,0.004,-0.003
2476608000,2476608000,0.009,0.000,-0.000,-0.039,0.030,0.012
2476708000,2476708000,0.006,-0.001,9.132e-06,-0.007,-0.007,0.005
2476808000,2476808000,0.004,-0.000,0.000,0.004,0.027,0.016
2476908000,2476908000,0.001,-0.000,0.000,-0.028,-0.039,-0.012
2477008000,2477008000,-0.000,-0.001,0.000,-0.005,0.008,-0.012
2477108000,2477108000,-0.001,-0.002,0.000,-0.024,-0.017,0.001
2477208000,2477208000,-0.003,-0.004,0.000,-0.005,-0.011,-0.022
2477308000,2477308000,-0.004,-0.004,-3.595e-05,-0.014,-0.001,-0.037
2477408000,2477408000,-0.004,-0.004,0.000,-0.008,0.012,-0.003
2477508000,2477508000,-0.005,-0.002,-0.000,-0.019,-0.004,0.016
2477608000,2477608000,-0.005,-0.002,-0.001,-0.022,0.028,0.002
2477708000,2477708000,-0.005,-0.001,-0.001,0.022,-0.034,-0.001
2477808000,2477808000,-0.005,-0.002,-0.002,0.011,-0.005,-0.027
2477908000,2477908000,-0.006,-0.001,-0.002,-0.006,-0.002,0.040
2478008000,2478008000,-0.005,-0.000,-0.004,0.019,0.027,-0.027
2478108000,2478108000,-0.006,3.518e-05,-0.004,-0.042,0.030,0.008
2478208000,2478208000,-0.005,0.000,-0.004,0.020,0.014,-0.009
2478308000,2478308000,-0.005,0.002,-0.003,-0.015,0.053,0.026
2478408000,2478408000,-0.006,0.001,-0.003,0.014,0.009,0.012
2478508000,2478508000,-0.006,0.001,-0.002,1.185e-05,-0.012,0.006
2478608000,2478608000,-0.007,0.000,-0.001,-0.043,-0.034,0.001
2478708000,2478708000,-0.006,0.000,-0.001,-0.005,-0.037,-0.007
2478808000,2478808000,-0.006,0.000,-0.001,0.013,0.032,0.004
2478908000,2478908000,-0.004,0.001,-0.001,0.016,-0.000,0.015
2479008000,2479008000,-0.003,0.000,-0.001,0.041,-0.013,0.044
2479108000,2479108000,-0.000,0.002,-0.000,0.007,0.040,0.028
2479208000,2479208000,0.001,0.002,-0.000,0.010,-0.013,-0.003
2479308000,2479308000,0.003,-0.000,-0.000,0.008,-0.036,-0.059
2479408000,2479408000,0.002,-0.000,0.000,-0.033,0.007,0.031
2479508000,2479508000,0.003,-0.000,0.000,-0.002,0.002,0.008
2479608000,2479608000,0.003,-0.002,-0.000,-0.015,-0.020,-0.002
2479708000,2479708000,0.003,-0.002,-0.000,-0.022,-0.019,0.022
2479808000,2479808000,0.004,-0.001,-0.000,0.001,0.018,0.003
2479908000,2479908000,0.003,-0.001,-0.000,0.008,-0.019,0.045
2480008000,2480008000,0.003,-0.002,-0.000,0.010,-0.016,0.014
2480108000,2480108000,0.002,-0.002,-0.000,-0.006,-0.013,0.025
2480208000,2480208000,0.000,-0.002,-0.000,-0.014,-0.027,-0.003
2480308000,2480308000,0.000,-0.002,0.000,-0.015,-0.010,0.018
2480408000,2480408000,-0.001,-0.000,0.000,-0.030,0.007,0.018
2480508000,2480508000,-0.001,-0.000,0.000,-0.018,-0.001,-0.026
2480608000,2480608000,-0.003,0.000,0.000,-0.014,0.009,-0.007
2480708000,2480708000,-0.003,0.001,0.000,0.001,0.016,-0.018
2480808000,2480808000,-0.004,9.626e-05,0.000,-0.029,-0.041,-0.025
2480908000,2480908000,-0.004,-0.000,0.000,0.014,-0.030,0.003
2481008000,2481008000,-0.004,0.000,0.000,-0.031,-0.004,0.019
2481108000,2481108000,-0.004,0.000,-6.543e-06,0.007,-0.043,0.006
2481208000,2481208000,-0.004,1.823e-05,0.000,-0.003,0.011,0.018
2481308000,2481308000,-0.004,0.001,0.000,-0.014,0.032,0.026
2481408000,2481408000,-0.004,0.001,-3.556e-06,0.000,0.009,-0.007
2481508000,2481508000,-0.004,0.001,0.000,0.000,0.008,0.002
2481608000,2481608000,-0.003,-0.000,0.000,-0.017,-0.006,0.016
2481708000,2481708000,-0.002,-0.000,0.000,0.016,0.010,0.017
2481808000,2481808000,-0.000,-0.001,-0.000,0.030,-0.054,-0.051
2481908000,2481908000,-0.000,-0.001,0.000,-0.027,-0.005,-0.000
2482008000,2482008000,0.000,0.000,0.000,0.008,0.000,-0.008
2482108000,2482108000,0.002,0.001,-0.000,-0.009,0.026,0.013
2482208000,2482208000,0.003,0.003,-0.000,0.022,0.015,-0.025
2482308000,2482308000,0.003,0.002,-0.000,0.030,0.000,-0.002
