timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2468704000,2468704000,0.721,0.005,0.003,0.692,0.999,-4.656e-10,0.0,0.004,3
2468804000,2468804000,0.721,0.005,0.003,0.692,0.999,-4.656e-10,0.0,0.004,3
2468904000,2468900000,0.720,0.005,0.003,0.692,0.999,-4.656e-10,0.0,0.004,3
2469004000,2469004000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469104000,2469104000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469204000,2469204000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469304000,2469304000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469404000,2469404000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469504000,2469504000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469604000,2469604000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469704000,2469704000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469804000,2469804000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2469908000,2469908000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470008000,2470008000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470108000,2470108000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470208000,2470208000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470308000,2470308000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470408000,2470408000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470508000,2470508000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470608000,2470608000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470708000,2470708000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470808000,2470808000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2470908000,2470908000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471008000,2471004000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471108000,2471108000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471208000,2471208000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471308000,2471308000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471408000,2471408000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471508000,2471508000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471608000,2471608000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471708000,2471708000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471808000,2471808000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2471908000,2471908000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472008000,2472008000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472108000,2472108000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472208000,2472204000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472308000,2472308000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472408000,2472408000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472508000,2472508000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472608000,2472608000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472708000,2472708000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472808000,2472808000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2472908000,2472908000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473008000,2473008000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473108000,2473108000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473208000,2473208000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473308000,2473308000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473408000,2473408000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473508000,2473508000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473608000,2473608000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473708000,2473708000,0.720,0.005,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2473808000,2473808000,0.720,0.005,0.004,0.693,0.999,-4.656e-10,0.0,0.004,3
2473908000,2473904000,0.720,0.005,0.004,0.693,0.999,-4.656e-10,0.0,0.004,3
2474008000,2474008000,0.720,0.005,0.004,0.692,0.999,-4.656e-10,0.0,0.004,3
2474108000,2474108000,0.720,0.005,0.004,0.692,0.999,-4.656e-10,0.0,0.004,3
2474208000,2474208000,0.721,0.005,0.004,0.692,0.999,-4.656e-10,0.0,0.004,3
2474308000,2474308000,0.721,0.005,0.004,0.692,0.999,-4.656e-10,0.0,0.004,3
2474408000,2474408000,0.721,0.005,0.004,0.692,0.999,-4.656e-10,0.0,0.004,3
2474508000,2474508000,0.721,0.005,0.003,0.692,0.999,-4.656e-10,0.0,0.004,3
2474608000,2474608000,0.720,0.005,0.002,0.692,0.999,-4.656e-10,0.0,0.004,3
2474708000,2474708000,0.720,0.005,0.002,0.693,0.999,-4.656e-10,0.0,0.004,3
2474808000,2474808000,0.720,0.004,0.002,0.693,0.999,-4.656e-10,0.0,0.004,3
2474908000,2474908000,0.720,0.004,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475008000,2475008000,0.720,0.003,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475108000,2475108000,0.720,0.003,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475208000,2475208000,0.720,0.002,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475308000,2475308000,0.720,0.002,0.000,0.693,0.999,-4.656e-10,0.0,0.004,3
2475408000,2475408000,0.720,0.002,0.000,0.693,0.999,-4.656e-10,0.0,0.004,3
2475508000,2475508000,0.720,0.002,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475608000,2475608000,0.720,0.002,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475712000,2475708000,0.720,0.002,0.001,0.693,0.999,-4.656e-10,0.0,0.004,3
2475812000,2475812000,0.720,0.002,0.002,0.693,0.999,-4.656e-10,0.0,0.004,3
2475912000,2475912000,0.720,0.003,0.002,0.693,0.999,-4.656e-10,0.0,0.004,3
2476012000,2476012000,0.720,0.003,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2476112000,2476112000,0.720,0.004,0.003,0.693,0.999,-4.656e-10,0.0,0.004,3
2476212000,2476212000,0.720,0.004,0.004,0.693,0.999,-4.656e-10,0.0,0.004,3
2476312000,2476312000,0.720,0.005,0.005,0.693,0.999,-4.656e-10,0.0,0.004,3
2476412000,2476412000,0.720,0.005,0.005,0.693,0.999,-4.656e-10,0.0,0.004,3
2476512000,2476512000,0.720,0.006,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2476612000,2476612000,0.720,0.006,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2476712000,2476712000,0.720,0.006,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2476812000,2476812000,0.720,0.007,0.007,0.693,0.999,-4.656e-10,0.0,0.004,3
2476912000,2476912000,0.720,0.007,0.007,0.693,0.999,-4.656e-10,0.0,0.004,3
2477012000,2477012000,0.720,0.007,0.007,0.693,0.999,-4.656e-10,0.0,0.004,3
2477112000,2477112000,0.720,0.007,0.007,0.693,0.999,-4.656e-10,0.0,0.004,3
2477212000,2477212000,0.720,0.007,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2477312000,2477312000,0.720,0.007,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2477412000,2477412000,0.720,0.007,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2477512000,2477512000,0.720,0.007,0.006,0.693,0.999,-4.656e-10,0.0,0.004,3
2477612000,2477612000,0.720,0.007,0.005,0.693,0.999,-4.656e-10,0.0,0.004,3
2477712000,2477712000,0.719,0.007,0.005,0.693,0.999,-4.656e-10,0.0,0.004,3
2477812000,2477812000,0.719,0.006,0.005,0.694,0.999,-4.656e-10,0.0,0.004,3
2477912000,2477912000,0.719,0.006,0.005,0.694,0.999,-4.656e-10,0.0,0.004,3
