timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
2468700000,0.0,0.721,0.0,0.0,0.692,0.0,0.0,-0.001,0,0
2468852000,0.0,0.721,0.0,0.0,0.692,0.0,0.0,-0.001,0,0
2468996000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469100000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469252000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469396000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469500000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469652000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469796000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2469900000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470052000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470196000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470300000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470452000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470596000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470700000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470852000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2470996000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2471100000,0.0,0.720,0.0,0.0,0.693,0.0,0.0,-0.001,0,0
2471252000,-0.008,0.720,-0.005,0.006,0.693,0.0,0.0,-0.010,0,0
2471396000,-0.001,0.720,0.000,0.000,0.693,0.0,0.0,-0.028,0,0
2471500000,-0.000,0.720,0.000,0.000,0.693,0.0,0.0,-0.042,0,0
2471652000,-9.761e-05,0.720,0.000,0.000,0.693,0.0,0.0,-0.068,0,0
2471796000,-2.142e-05,0.720,0.001,0.000,0.693,0.0,0.0,-0.104,0,0
2471900000,-6.772e-06,0.720,0.001,0.000,0.693,0.0,0.0,-0.131,0,0
2472052000,-1.143e-06,0.720,0.001,0.000,0.693,0.0,0.0,-0.172,0,0
2472196000,-2.510e-07,0.720,0.001,0.000,0.693,0.0,0.0,-0.214,0,0
2472300000,-7.921e-08,0.720,0.001,0.000,0.693,0.0,0.0,-0.247,0,0
2472452000,-1.337e-08,0.720,0.001,7.933e-05,0.693,0.0,0.0,-0.300,0,0
2472596000,-2.936e-09,0.720,0.001,0.000,0.693,0.0,0.0,-0.353,0,0
2472700000,-9.280e-10,0.720,0.001,0.000,0.693,0.0,0.0,-0.394,0,0
2472852000,-1.564e-10,0.720,0.001,0.000,0.693,0.0,0.0,-0.457,0,0
2472996000,-3.428e-11,0.720,0.001,0.000,0.693,0.0,0.0,-0.522,0,0
2473100000,-1.083e-11,0.720,0.001,7.211e-05,0.693,0.0,0.0,-0.570,0,0
2473252000,-1.829e-12,0.720,0.002,2.779e-05,0.693,0.0,0.0,-0.645,0,0
2473396000,-4.016e-13,0.720,0.002,-0.000,0.693,0.0,0.0,-0.704,0,0
2473500000,-1.269e-13,0.720,0.002,-0.000,0.693,0.0,0.0,-0.720,0,0
2473652000,-2.143e-14,0.720,0.002,-0.000,0.693,0.0,0.0,-0.743,0,0
2473800000,-4.705e-15,0.720,0.002,-0.000,0.693,0.0,0.0,-0.764,0,0
2473900000,-1.487e-15,0.720,0.002,-0.000,0.693,0.0,0.0,-0.780,0,0
2474052000,-2.511e-16,0.720,0.002,-0.000,0.693,0.0,0.0,-0.804,0,0
2474196000,-5.513e-17,0.720,0.002,-0.001,0.693,0.0,0.0,-0.826,0,0
2474300000,-1.742e-17,0.720,0.002,-0.001,0.693,0.0,0.0,-0.843,0,0
2474452000,-2.942e-18,0.720,0.002,-0.001,0.693,0.0,0.0,-0.867,0,0
2474596000,-6.458e-19,0.720,0.001,-0.000,0.693,0.0,0.0,-0.883,0,0
2474700000,-2.041e-19,0.720,0.001,-0.000,0.693,0.0,0.0,-0.888,0,0
2474852000,-3.447e-20,0.720,0.001,-0.000,0.693,0.0,0.0,-0.890,0,0
2474996000,-7.566e-21,0.720,0.001,0.000,0.693,0.0,0.0,-0.890,0,0
2475100000,-2.391e-21,0.720,0.002,0.001,0.693,0.0,0.0,-0.889,0,0
2475252000,-4.038e-22,0.720,0.003,0.001,0.693,0.0,0.0,-0.888,0,0
2475396000,-8.864e-23,0.720,0.004,0.003,0.693,0.0,0.0,-0.887,0,0
2475500000,-2.801e-23,0.720,0.004,0.003,0.693,0.0,0.0,-0.886,0,0
2475652000,-4.731e-24,0.720,0.005,0.004,0.693,0.0,0.0,-0.885,0,0
2475796000,-1.036e-24,0.720,0.006,0.005,0.693,0.0,0.0,-0.883,0,0
2475900000,-3.277e-25,0.720,0.006,0.006,0.693,0.0,0.0,-0.883,0,0
2476052000,-5.533e-26,0.720,0.006,0.006,0.693,0.0,0.0,-0.881,0,0
2476196000,-1.214e-26,0.720,0.007,0.007,0.693,0.0,0.0,-0.880,0,0
2476300000,-3.839e-27,0.720,0.007,0.007,0.693,0.0,0.0,-0.879,0,0
2476444000,-8.414e-28,0.720,0.007,0.007,0.693,0.0,0.0,-0.878,0,0
2476548000,-2.216e-28,0.720,0.007,0.007,0.693,0.0,0.0,-0.877,0,0
2476652000,-7.005e-29,0.720,0.007,0.006,0.693,0.0,0.0,-0.876,0,0
2476796000,-1.537e-29,0.720,0.006,0.006,0.693,0.0,0.0,-0.876,0,0
2476900000,-4.853e-30,0.720,0.006,0.006,0.693,0.0,0.0,-0.875,0,0
