timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
2468704000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2469208000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2469712000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2470216000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2470720000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2471224000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2471728000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2472232000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2472736000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2473240000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2473744000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2474248000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2474752000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2475256000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2475760000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2476264000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2476768000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2477272000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2477776000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2478280000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2478784000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2479288000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2479792000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2480296000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2480800000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2481304000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2481808000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2482312000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2482816000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2483320000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2483824000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2484328000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2484832000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2485336000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2485840000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2486344000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2486848000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2487352000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2487856000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2488360000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2488864000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2489368000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2489872000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2490376000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2490880000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2491384000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2491888000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2492392000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2492896000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2493400000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2493904000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2494108000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2494624000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
