timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
1204720000,1204720000,-0.000,-0.000,-0.000,-0.045,-0.018,-0.000
1204820000,1204820000,0.000,-0.000,-0.000,-0.013,-0.012,0.000
1204920000,1204920000,0.000,-0.000,-1.855e-05,-0.012,0.030,0.002
1205020000,1205020000,-0.000,-0.000,-0.000,-0.035,-0.005,-0.029
1205120000,1205120000,0.000,-9.261e-05,-1.749e-05,0.001,0.029,0.028
1205220000,1205220000,0.000,-0.000,-0.000,0.009,0.021,-0.009
1205320000,1205320000,0.000,-0.000,6.866e-05,0.006,-0.025,0.024
1205420000,1205420000,9.337e-05,-0.000,-6.434e-05,-0.008,0.022,0.015
1205520000,1205520000,0.000,-0.000,0.000,0.004,0.014,0.017
1205620000,1205620000,-7.444e-05,-0.000,-0.000,0.002,-0.019,-0.015
1205720000,1205720000,5.230e-05,-0.000,-0.000,-0.006,-0.010,-0.037
1205820000,1205820000,0.000,-0.000,-7.584e-06,0.028,-0.006,0.005
1205920000,1205920000,0.000,-0.000,-0.000,-0.013,0.019,-0.030
1206020000,1206020000,0.000,-7.353e-05,-1.072e-05,0.004,0.027,-0.002
1206120000,1206120000,0.000,-0.000,-0.000,-0.009,0.020,-0.001
1206220000,1206220000,-0.000,9.432e-05,9.276e-05,-0.022,0.016,0.013
1206320000,1206320000,0.000,-0.000,-0.000,0.008,0.009,0.002
1206420000,1206420000,7.061e-05,-0.000,-0.000,-0.008,-0.009,0.017
1206520000,1206520000,-0.000,-0.000,-5.969e-06,-0.026,0.034,0.035
1206620000,1206620000,0.000,4.009e-05,4.310e-05,0.006,0.022,0.010
1206720000,1206720000,6.570e-05,-0.000,-0.000,-0.020,-0.005,-0.032
1206820000,1206820000,-7.797e-05,-0.000,5.802e-05,-0.016,0.002,0.007
1206920000,1206920000,0.000,-0.000,-0.000,-0.012,-0.001,-0.010
1207020000,1207020000,8.673e-06,-0.000,-0.000,0.017,-0.008,-0.018
1207120000,1207120000,0.000,-0.000,6.424e-05,0.015,0.026,-0.009
1207220000,1207220000,0.000,-0.000,0.000,-0.002,0.010,0.009
1207320000,1207320000,0.000,-0.000,-0.000,0.007,0.013,-0.024
1207420000,1207420000,0.000,-0.000,7.305e-05,-0.001,0.014,0.012
1207520000,1207520000,0.000,-0.000,-0.000,0.022,0.006,-0.003
1207620000,1207620000,0.000,-0.000,3.979e-05,-0.001,-0.005,0.003
1207720000,1207720000,-0.000,-0.000,-6.336e-05,-0.020,-0.007,0.005
1207820000,1207820000,0.000,5.036e-05,4.209e-05,0.010,0.021,0.000
1207920000,1207920000,0.000,-3.332e-05,0.000,0.013,0.026,0.026
1208020000,1208020000,0.000,-0.000,-0.000,0.012,-0.017,-0.037
1208120000,1208120000,-3.175e-05,-0.000,-0.000,0.019,0.004,-0.001
1208220000,1208220000,-0.000,-0.000,1.898e-05,-0.027,0.001,0.015
1208320000,1208320000,0.000,1.902e-05,-0.000,0.006,0.016,0.019
1208420000,1208420000,9.571e-05,-0.000,5.231e-05,-0.021,0.028,0.008
1208520000,1208520000,-6.754e-05,-8.424e-05,-5.258e-05,-0.034,0.003,0.004
1208620000,1208620000,-0.000,-0.000,-0.000,-0.032,0.000,0.004
1208720000,1208720000,-0.000,-0.000,0.000,0.003,0.005,0.038
1208820000,1208820000,0.000,2.532e-05,-4.569e-05,0.011,0.024,0.012
1208920000,1208920000,-3.251e-06,-0.000,-0.000,0.004,0.018,-0.008
1209020000,1209020000,6.275e-05,-0.000,-0.000,0.011,-0.018,-0.022
1209120000,1209116000,-0.000,-4.214e-05,0.000,-0.031,0.007,0.020
1209220000,1209220000,-8.654e-05,-9.926e-05,3.919e-05,-0.019,-0.004,-0.014
1209320000,1209320000,-3.952e-05,0.000,-0.000,-0.001,0.021,0.013
1209420000,1209420000,7.295e-05,-0.000,0.000,-0.010,-0.027,-0.005
1209520000,1209520000,-0.000,-2.868e-05,-0.000,0.002,-0.022,0.012
1209620000,1209620000,0.000,-0.000,0.000,0.007,-0.020,0.037
1209720000,1209720000,8.706e-05,-0.000,-0.000,0.020,0.008,-0.025
1209820000,1209820000,0.000,-5.112e-05,-0.000,0.031,-0.010,-0.006
1209920000,1209920000,-0.000,-7.084e-05,1.755e-05,-0.023,-0.001,-0.010
1210020000,1210020000,0.000,-0.000,-0.000,0.018,-0.001,0.016
1210120000,1210120000,4.705e-05,-0.000,0.000,0.020,-0.000,-0.003
1210220000,1210220000,0.000,8.806e-05,-3.799e-06,0.041,0.016,0.021
1210320000,1210320000,6.115e-06,0.000,-0.000,-0.001,0.002,-0.003
1210420000,1210420000,-0.000,-0.000,1.344e-05,-0.034,-0.019,0.005
1210520000,1210520000,0.000,-0.000,-0.000,0.033,-0.002,-0.014
1210620000,1210620000,-0.000,-0.000,-0.000,-0.022,-0.003,-0.008
1210720000,1210720000,-0.000,-0.000,-0.000,0.010,-0.017,-0.018
1210820000,1210820000,8.454e-05,-0.000,4.655e-05,0.007,0.014,-0.008
1210920000,1210920000,0.000,-5.745e-05,-4.002e-05,0.001,0.006,-0.000
1211020000,1211020000,-0.000,-0.000,-0.000,0.000,0.002,-0.013
1211120000,1211120000,0.000,-0.000,0.000,0.025,-0.008,-0.000
1211220000,1211220000,-8.864e-05,-0.000,-0.000,-0.001,0.011,-0.020
1211320000,1211320000,-0.000,0.000,-3.225e-05,-0.030,0.010,-0.000
1211420000,1211420000,0.000,-0.000,-0.000,0.021,-0.024,-0.018
1211520000,1211520000,0.000,-4.865e-05,-0.000,0.017,0.003,-0.000
1211620000,1211620000,-0.000,0.000,-9.729e-05,-0.001,0.043,0.000
1211720000,1211720000,-0.000,-0.000,-0.000,-0.003,-0.004,-0.010
1211820000,1211820000,0.000,0.000,-5.420e-05,0.040,0.008,-0.005
1211920000,1211920000,-0.000,0.000,-7.798e-05,-0.020,0.014,-0.001
1212020000,1212020000,-0.000,-0.000,-0.000,-0.033,0.016,-0.024
1212120000,1212120000,9.858e-05,-5.175e-05,1.637e-05,0.009,0.004,-0.002
1212220000,1212220000,-7.220e-05,1.648e-05,-7.700e-05,-0.016,-0.003,0.003
1212320000,1212320000,0.000,-0.000,-2.437e-06,0.033,-0.035,0.001
1212420000,1212420000,-0.000,0.000,-0.000,-0.006,0.006,0.001
1212520000,1212520000,-4.744e-05,-0.000,-4.949e-05,-0.006,-0.021,0.002
1212620000,1212620000,-1.794e-05,0.000,4.536e-05,0.007,0.015,-0.004
1212720000,1212720000,0.000,-2.893e-05,0.001,0.025,0.000,-0.003
1212820000,1212820000,-0.001,0.041,0.001,-0.010,0.554,0.005
1212920000,1212920000,-0.002,0.010,0.002,0.001,-0.428,0.034
1213020000,1213020000,-0.002,-0.000,0.002,-0.004,0.068,-0.026
1213120000,1213120000,-0.003,-0.001,0.002,-0.035,-0.064,0.042
1213220000,1213220000,-0.003,-0.003,0.001,0.016,0.002,-0.008
1213320000,1213320000,-0.003,-0.005,0.001,0.000,-0.066,-0.030
1213420000,1213420000,-0.003,-0.005,0.001,0.020,-0.020,0.031
1213520000,1213520000,-0.003,-0.005,0.001,-0.010,-0.014,0.016
1213620000,1213620000,-0.003,-0.005,0.002,-0.002,0.023,0.009
1213720000,1213720000,-0.003,-0.005,0.002,0.024,0.033,-0.026
1213820000,1213820000,-0.002,-0.003,0.002,0.030,0.007,0.059
1213920000,1213920000,-0.002,-0.003,0.002,0.003,0.002,0.001
1214020000,1214020000,-0.000,-0.003,0.001,0.025,-0.051,-0.024
1214120000,1214120000,0.000,-0.003,0.001,-0.003,0.008,-0.012
1214220000,1214220000,0.001,-0.003,0.002,-0.012,0.007,0.020
1214320000,1214320000,0.002,-0.004,0.002,0.018,-0.016,-0.026
1214420000,1214420000,0.003,-0.002,0.002,0.029,-0.014,0.035
1214520000,1214520000,0.003,0.000,0.001,-0.013,0.060,-0.005
1214620000,1214620000,0.004,0.000,0.001,0.017,-0.034,-0.002
1214720000,1214720000,0.005,0.000,0.001,0.015,0.006,-0.004
1214820000,1214820000,0.005,0.001,0.000,-0.005,0.033,-0.008
1214920000,1214920000,0.005,0.000,0.000,0.000,-0.025,0.012
1215020000,1215020000,0.006,-0.000,3.087e-05,0.012,-0.026,0.013
1215120000,1215120000,0.006,-0.001,-5.158e-06,0.036,0.021,0.020
1215220000,1215220000,0.006,-0.002,4.716e-05,-0.023,0.019,0.009
1215320000,1215320000,0.005,-0.001,3.213e-05,-0.041,0.002,-0.027
1215420000,1215420000,0.004,-0.001,0.000,0.006,0.005,0.020
1215520000,1215520000,0.003,-0.001,0.000,-0.030,-0.030,-0.037
1215620000,1215620000,0.001,-0.001,0.000,-0.020,-0.010,-0.022
1215720000,1215720000,0.000,-3.529e-05,0.000,-0.035,0.055,-0.037
1215820000,1215820000,-0.000,0.002,0.000,-0.014,0.016,-0.024
1215920000,1215920000,-0.001,0.003,0.000,-0.025,0.007,-0.013
1216020000,1216020000,-0.001,0.003,0.000,0.013,0.007,0.000
1216120000,1216120000,-0.001,0.002,0.000,-0.000,0.015,0.029
1216220000,1216220000,-0.001,0.001,0.000,0.001,-0.019,0.024
1216320000,1216320000,-0.001,0.000,0.000,0.035,-0.040,0.033
1216420000,1216420000,-0.001,0.000,0.000,-0.006,-0.012,-0.000
1216520000,1216520000,-0.001,-0.000,0.000,0.000,-0.042,0.014
1216620000,1216620000,-0.001,-0.001,8.491e-05,-0.015,-0.001,-0.030
1216720000,1216720000,-0.001,-0.001,-0.000,-0.014,-0.003,-0.017
1216820000,1216820000,-0.000,0.000,-0.000,0.026,0.006,-0.014
1216920000,1216920000,-0.001,0.001,-0.000,0.013,0.012,-0.019
1217020000,1217020000,-0.001,0.000,-9.002e-05,-0.003,-0.012,-0.004
1217120000,1217120000,-0.001,0.000,0.000,-0.001,-0.007,0.030
1217220000,1217220000,-0.001,-0.000,0.000,-0.014,0.026,0.020
1217320000,1217320000,-0.001,0.000,5.275e-05,-0.015,0.005,-0.015
1217420000,1217420000,-0.001,0.001,0.000,-0.016,-0.002,-0.001
1217520000,1217520000,-0.001,0.001,0.000,-0.019,-0.003,0.000
1217620000,1217620000,-0.001,-0.000,0.000,-0.024,0.008,0.002
1217720000,1217720000,-0.001,-0.001,0.000,0.014,-0.007,0.024
1217820000,1217820000,-0.001,-0.000,-0.000,-0.014,0.017,0.006
1217920000,1217920000,-0.000,-0.001,-0.000,-0.016,0.000,0.000
1218020000,1218020000,-0.000,-0.000,-0.000,-0.014,0.023,0.023
1218120000,1218120000,-0.000,-0.000,-0.000,-0.010,0.005,0.004
1218220000,1218220000,0.000,0.000,-0.000,0.019,-0.021,-0.001
1218320000,1218320000,0.000,0.000,-0.000,-0.005,0.019,-0.019
1218420000,1218420000,0.001,0.000,-5.214e-05,0.017,-0.016,-0.015
1218520000,1218520000,0.002,-0.001,0.000,-0.023,-0.050,0.006
1218620000,1218620000,0.002,-0.001,-0.000,-0.009,0.014,-0.010
1218720000,1218720000,0.002,-0.000,0.000,0.017,0.013,0.007
1218820000,1218820000,0.002,-0.000,0.000,0.023,0.003,-0.021
1218920000,1218920000,0.001,0.000,0.000,-0.000,0.006,0.002
1219020000,1219020000,0.001,0.000,0.000,-0.003,0.025,0.014
1219120000,1219120000,0.001,0.000,0.000,-0.001,-0.034,0.002
1219220000,1219220000,0.000,0.001,0.000,-0.020,0.015,0.018
1219320000,1219320000,-0.000,0.001,0.001,-0.017,0.014,0.002
1219420000,1219420000,-0.001,0.001,0.000,0.011,0.032,-0.004
1219520000,1219520000,-0.002,-0.000,0.000,-0.005,0.024,-0.005
1219620000,1219620000,-0.002,-0.000,0.000,0.012,-0.026,0.017
1219720000,1219720000,-0.003,-0.002,0.000,-0.008,0.004,0.009
1219820000,1219820000,-0.003,-0.002,0.000,-0.015,-0.009,0.005
1219920000,1219920000,-0.003,-0.002,0.000,0.020,-0.018,0.002
1220020000,1220020000,-0.003,-0.001,2.623e-05,0.008,0.068,-0.016
1220120000,1220120000,-0.002,-0.000,0.000,0.033,0.033,-0.006
1220220000,1220220000,-0.002,0.000,-0.000,0.014,-0.001,-0.002
1220320000,1220320000,-0.002,0.000,0.000,0.017,0.006,0.004
1220420000,1220420000,-0.000,0.000,-2.185e-05,0.048,0.020,0.003
1220520000,1220520000,0.000,-0.000,-0.000,0.019,-0.023,-0.027
1220620000,1220620000,0.001,-0.001,2.741e-05,-0.020,-0.024,0.021
1220720000,1220720000,0.002,0.000,-0.000,0.015,-0.005,-8.292e-05
1220820000,1220820000,0.002,-0.000,-0.000,0.006,0.003,-0.010
1220920000,1220920000,0.002,-0.000,-0.000,0.000,0.007,-0.025
1221020000,1221020000,0.002,-0.000,7.861e-05,0.023,0.032,0.027
1221120000,1221120000,0.002,-0.000,-0.000,0.029,0.005,-0.006
