timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1204720000,1204720000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1204820000,1204820000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1204920000,1204920000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1205020000,1205020000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1205120000,1205120000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1205220000,1205220000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1205320000,1205320000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1205420000,1205420000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1205520000,1205520000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1205620000,1205620000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1205720000,1205720000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1205820000,1205820000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1205920000,1205920000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1206020000,1206020000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1206120000,1206120000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1206220000,1206220000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1206320000,1206320000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1206420000,1206420000,0.748,0.006,0.003,0.663,0.999,-4.656e-10,0.0,0.004,3
1206520000,1206520000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1206620000,1206620000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1206720000,1206720000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1206820000,1206820000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1206920000,1206920000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207020000,1207020000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207120000,1207120000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207220000,1207220000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207320000,1207320000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207420000,1207420000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207520000,1207520000,0.748,0.006,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207620000,1207620000,0.748,0.005,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207720000,1207720000,0.748,0.005,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
1207820000,1207820000,0.748,0.005,0.004,0.663,0.999,-4.656e-10,0.0,0.004,3
