timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1204720000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1205224000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1205728000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1206232000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1206736000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1207240000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1207744000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1208248000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1208752000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1209256000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1209760000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1210264000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1210768000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1211272000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1211776000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1212280000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1212784000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1213288000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1213792000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1214296000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1214800000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1215304000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1215808000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1216312000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1216816000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1217320000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1217824000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1218328000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1218832000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1219336000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1219840000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1220344000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1220848000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1221352000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1221856000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1222360000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1222864000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1223368000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1223872000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1224376000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1224880000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1225384000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1225888000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1226392000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1226896000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1227400000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1227904000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1228408000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1228912000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1229416000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1229920000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1230424000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1230928000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1231432000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1231936000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1232440000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1232944000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1233448000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1233952000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1234456000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1234960000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1235272000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1235788000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1236292000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1236796000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1237300000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1237804000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1238308000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1238812000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1239316000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1239820000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
1240324000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
