timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
126976000,126976000,4.072e-05,-0.000,-9.566e-05,0.020,-0.015,0.031
127076000,127076000,2.537e-05,0.000,2.404e-05,-0.004,0.012,0.021
127176000,127176000,-0.000,-0.000,-0.000,0.021,-0.022,0.006
127276000,127276000,0.000,0.000,-0.000,0.018,0.022,-0.033
127376000,127376000,-1.667e-05,-0.000,-0.000,0.019,-0.024,0.013
127476000,127476000,0.000,7.801e-05,-0.000,-0.011,0.035,0.000
127576000,127576000,-3.511e-05,4.508e-05,-0.000,0.019,-0.003,0.008
127676000,127676000,4.626e-05,0.000,-0.000,0.008,0.012,0.007
127776000,127776000,-0.000,9.394e-05,-6.542e-05,-0.028,-0.012,-0.000
127876000,127876000,-3.818e-05,6.188e-07,-9.369e-05,0.013,-0.012,0.005
127976000,127976000,0.000,-8.123e-05,-0.000,0.036,0.012,-0.004
128076000,128076000,-2.882e-05,-2.917e-05,0.000,-0.018,0.004,0.013
128176000,128176000,0.000,8.376e-05,-0.000,0.009,0.007,0.003
128276000,128276000,-0.000,-1.659e-06,-0.000,-0.014,-0.017,-0.008
128376000,128376000,-7.425e-05,-0.000,-0.000,-0.001,-0.022,-0.003
128476000,128476000,-2.368e-05,0.000,-0.000,-0.000,0.019,-0.024
128576000,128576000,-0.000,-0.000,3.974e-05,-0.026,-0.012,0.010
128676000,128676000,0.000,1.749e-05,-0.000,0.015,0.010,-0.031
128776000,128776000,-0.000,-0.000,-0.000,0.011,-0.001,-0.003
128876000,128876000,-0.000,-0.000,-0.000,-0.005,-0.009,-0.014
128976000,128976000,-4.810e-05,-0.000,-0.000,-0.009,-0.027,-0.038
129076000,129076000,-0.000,2.736e-05,-0.000,0.004,0.009,0.009
129176000,129176000,0.000,-6.558e-05,-0.000,0.010,-0.019,0.010
129276000,129276000,5.453e-05,0.000,-0.000,0.007,0.006,-0.025
129376000,129376000,-3.681e-05,-0.000,-0.000,0.006,-0.005,-0.021
129476000,129476000,-2.810e-05,0.000,-0.000,-0.013,0.008,0.027
129576000,129576000,0.000,0.000,-0.000,0.014,-0.017,0.016
129676000,129676000,1.426e-05,0.000,-0.000,0.017,0.031,0.014
