timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
126976000,126976000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127076000,127072000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127176000,127176000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127276000,127276000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127376000,127376000,0.672,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
127476000,127476000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127576000,127576000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127676000,127676000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127776000,127776000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127876000,127876000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
127976000,127976000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
128076000,128076000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
128176000,128176000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
128276000,128276000,0.672,0.003,-0.000,0.740,0.669,1.455e-12,-1.807e-10,0.743,1
128376000,128376000,0.672,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
128476000,128476000,0.672,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
128576000,128576000,0.672,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
128676000,128676000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
128776000,128776000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
128876000,128876000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
128976000,128976000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129076000,129076000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129176000,129176000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129276000,129276000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129376000,129376000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129476000,129476000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129576000,129576000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129676000,129672000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129776000,129776000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129876000,129876000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
129976000,129976000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130076000,130076000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130176000,130176000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130276000,130276000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130376000,130376000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130476000,130476000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130576000,130576000,0.673,0.003,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130676000,130676000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130776000,130776000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130876000,130876000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
130976000,130976000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
131076000,131076000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
131176000,131176000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
131276000,131276000,0.673,0.004,-0.000,0.739,0.669,1.455e-12,-1.807e-10,0.743,1
