timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
126972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
127076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
127228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
127380000,0.0,0.672,0.0,0.0,0.739,0.0,0.0,-0.001,0,0
127524000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
127628000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
127772000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
127876000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.001,0,0
128028000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.007,0,0
128172000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.028,0,0
128276000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.045,0,0
128428000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.073,0,0
128572000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.104,0,0
128676000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.129,0,0
128828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.168,0,0
128972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.209,0,0
129076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.241,0,0
129228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.292,0,0
129372000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.344,0,0
129476000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.384,0,0
129628000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.446,0,0
129728000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.487,0,0
129828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.533,0,0
129972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.601,0,0
130076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.652,0,0
130228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.704,0,0
130372000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.725,0,0
130476000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.741,0,0
130628000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.764,0,0
130772000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.785,0,0
130876000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.801,0,0
131028000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.824,0,0
131172000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.845,0,0
131276000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.861,0,0
131428000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.879,0,0
131572000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.888,0,0
131676000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.890,0,0
131828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.890,0,0
131972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.890,0,0
132076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.888,0,0
132228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.887,0,0
132328000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.886,0,0
132428000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.885,0,0
132572000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.883,0,0
132676000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.882,0,0
132828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.881,0,0
132972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.881,0,0
133076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.880,0,0
133228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.879,0,0
133372000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.878,0,0
133476000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.877,0,0
133628000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.876,0,0
133772000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.875,0,0
133876000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.875,0,0
134028000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.874,0,0
134172000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.873,0,0
134276000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.873,0,0
134428000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.872,0,0
134572000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.872,0,0
134676000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.871,0,0
134828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.871,0,0
134972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.870,0,0
135076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.870,0,0
135228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.869,0,0
135372000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.869,0,0
135476000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.869,0,0
135628000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.869,0,0
135772000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.869,0,0
135876000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.868,0,0
136028000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.868,0,0
136172000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.867,0,0
136276000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.867,0,0
136428000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.867,0,0
136572000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.899,0,0
136676000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.887,0,0
136828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.886,0,0
136972000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.890,0,0
137076000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.884,0,0
137228000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.857,0,0
137372000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.862,0,0
137476000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
137628000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
137772000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
137876000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
138028000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
138172000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
138276000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
138428000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.866,0,0
138572000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
138676000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
138828000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
138968000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139072000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139176000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139328000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139472000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139576000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139728000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139872000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
139976000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
140128000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
140272000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
140376000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
140528000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.865,0,0
140672000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
140776000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
140928000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
141072000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
141176000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
141328000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
141472000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
141576000,0.0,0.672,0.0,0.0,0.740,0.0,0.0,-0.864,0,0
141728000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.867,0,0
141872000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.866,0,0
141976000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.865,0,0
142128000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.865,0,0
142272000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.865,0,0
142376000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.865,0,0
142528000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.866,0,0
142672000,0.0,0.671,0.042,0.047,0.738,0.0,0.0,-0.866,0,0
142828000,0.0,0.671,0.042,0.047,0.737,0.0,0.0,-0.867,0,0
142972000,0.0,0.677,0.043,0.046,0.732,0.0,0.0,-0.868,0,0
143076000,0.0,0.682,0.043,0.046,0.728,0.0,0.0,-0.868,0,0
143228000,0.0,0.691,0.044,0.045,0.719,0.0,0.0,-0.869,0,0
143372000,0.0,0.699,0.044,0.045,0.711,0.0,0.0,-0.869,0,0
143476000,0.0,0.704,0.044,0.045,0.707,0.0,0.0,-0.869,0,0
143628000,0.0,0.710,0.0,0.0,0.703,0.0,0.0,-0.867,0,0
143772000,0.0,0.713,0.0,0.0,0.700,0.0,0.0,-0.870,0,0
143876000,0.0,0.715,0.0,0.0,0.698,0.0,0.0,-0.870,0,0
144028000,0.0,0.715,0.0,0.0,0.698,0.0,0.0,-0.869,0,0
144172000,0.0,0.716,0.0,0.0,0.697,0.0,0.0,-0.868,0,0
144276000,0.0,0.716,0.0,0.0,0.697,0.0,0.0,-0.867,0,0
144420000,0.0,0.716,0.0,0.0,0.697,0.0,0.0,-0.866,0,0
144524000,0.0,0.716,0.0,0.0,0.697,0.0,0.0,-0.865,0,0
144628000,0.0,0.716,0.0,0.0,0.697,0.0,0.0,-0.865,0,0
144772000,0.0,0.715,0.0,0.0,0.698,0.0,0.0,-0.864,0,0
144876000,0.0,0.714,0.0,0.0,0.699,0.0,0.0,-0.864,0,0
145028000,0.0,0.713,0.0,0.0,0.700,0.0,0.0,-0.863,0,0
145172000,0.0,0.713,0.0,0.0,0.700,0.0,0.0,-0.863,0,0
145276000,0.0,0.713,0.0,0.0,0.700,0.0,0.0,-0.863,0,0
145420000,0.0,0.713,0.0,0.0,0.700,0.0,0.0,-0.863,0,0
145524000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.881,0,0
145628000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.871,0,0
145772000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.865,0,0
145876000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.863,0,0
146028000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.862,0,0
146172000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.862,0,0
146276000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.864,0,0
146428000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.867,0,0
146572000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.871,0,0
146676000,0.0,0.707,0.089,0.087,0.695,0.0,0.0,-0.874,0,0
