timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
126968000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
127472000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
127976000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
128480000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
128984000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
129488000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
129992000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
130496000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
131000000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
131504000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
132008000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
132512000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
133016000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
133520000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
134024000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
134528000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
135032000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
135536000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
136040000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
136544000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
137048000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
137552000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
138056000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
138560000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
139064000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
139568000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
140072000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
140576000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
141080000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
141584000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
142088000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
142592000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
143096000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
143600000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
144104000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
144608000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
145112000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
145616000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
146120000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
146624000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
147128000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
147632000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
148136000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
148640000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
149144000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
149648000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
150152000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
150656000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
151160000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
151664000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
152168000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
152672000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
153176000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
153680000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
154184000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
154688000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
155192000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
155696000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
156200000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
156704000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
157208000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
157712000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
158216000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
158720000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
159224000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
159728000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
160232000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
160736000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
161240000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
161744000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
162248000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
162752000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
163256000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
163760000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
164264000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
164768000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
165272000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
165776000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
166280000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
166760000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
167264000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
167768000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
168272000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
168776000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
169280000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
169784000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
170288000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
170792000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
171296000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
171584000,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
172100000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
172604000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
173108000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
173612000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
174116000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
174620000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
175124000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
175628000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
176132000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
176636000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
177140000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
177644000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
178148000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
178652000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
179156000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
179660000,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
